Flavour,Systematic,Nominal yield,Systematic yield (up),Systematic yield (down),Renorm. value (up),Renorm. value (down)
tt_light,muR,76139.92121189389,76193.17112987133,76665.67568340678,0.9993011195467021,0.9931422443378181
tt_light,muF,76139.92121189389,76189.44735427659,76923.7404509737,0.9993499606034363,0.9898104377857266
tt_light,ISR,76139.92121189389,77054.73328328588,76054.59768505734,0.9881277627938992,1.0011218720423698
tt_light,FSR,76139.92121189389,63232.292719641635,83444.4214297296,1.2041303254569922,0.9124626896240512
tt_light,PH7,76139.92121189389,83429.64224287015,N/A,0.9126243282962269,N/A
tt_light,hdamp,76139.92121189389,78565.75124814619,N/A,0.9691235685051819,N/A
tt_light,pthard,76139.92121189389,76430.42857398094,N/A,0.9961990614535694,N/A
tt_light,AFII_5FS,76139.92121189389,76591.57596511775,N/A,0.9941030753378208,N/A
tt_1c,muR,41561.738576549615,40865.56883920402,41604.535171489224,1.017035606186833,0.9989713478407293
tt_1c,muF,41561.738576549615,41034.12764037617,41617.12737633403,1.0128578567771058,0.9986690864248378
tt_1c,ISR,41561.738576549615,42195.69396045217,40499.708451260434,0.98497582752172,1.0262231548300473
tt_1c,FSR,41561.738576549615,44110.156020128,38048.12621560016,0.9422260614445455,1.0923465282111273
tt_1c,PH7,41561.738576549615,37677.90588450718,N/A,1.1030798448286223,N/A
tt_1c,hdamp,41561.738576549615,43298.17053496842,N/A,0.9598959508689534,N/A
tt_1c,pthard,41561.738576549615,41146.345146375665,N/A,1.010095512218551,N/A
tt_1c,AFII_5FS,41561.738576549615,41653.338633950145,N/A,0.9978008951886064,N/A
tt_1b,muR,34160.75984042205,33231.10276004021,36910.313585844946,1.027975510987247,0.9255071691811
tt_1b,muF,34160.75984042205,33677.46446879368,34666.04409347457,1.0143507054124041,0.9854242309364732
tt_1b,ISR,34160.75984042205,34210.562180479945,34112.98598591191,0.9985442408167641,1.0014004594769237
tt_1b,FSR,34160.75984042205,35432.95796144448,32322.161138326886,0.9640956275113485,1.0568835324539916
tt_1b,PH7,34160.75984042205,35100.28071988654,N/A,0.9732332374500869,N/A
tt_1b,pthard,34160.75984042205,32727.278803002613,N/A,1.0438008013452045,N/A
tt_1b,dipolePS,34160.75984042205,34194.15525654501,N/A,0.9990233589374438,N/A
tt_1b,AFII_4FS,34160.75984042205,34302.809093119344,N/A,0.9958589615121115,N/A
tt_1b,AFII_4FS_bzd2,34160.75984042205,32804.89173418177,N/A,1.0413312781894506,N/A
tt_2b,muR,40298.67962386698,39209.72557248609,44293.836866890655,1.0277725496794863,0.9098033151873995
tt_2b,muF,40298.67962386698,39314.069408216485,41343.64557390992,1.0250447290364888,0.9747248716087491
tt_2b,ISR,40298.67962386698,40452.49482577514,40159.208880825005,0.9961976337288805,1.0034729454819655
tt_2b,FSR,40298.67962386698,41061.83496969915,38854.68744288491,0.9814144850955802,1.0371639118987814
tt_2b,PH7,40298.67962386698,39258.99127375163,N/A,1.0264828085588251,N/A
tt_2b,pthard,40298.67962386698,37185.43091568267,N/A,1.0837222705646075,N/A
tt_2b,dipolePS,40298.67962386698,39468.328860834845,N/A,1.0210384069201395,N/A
tt_2b,AFII_4FS,40298.67962386698,40562.95494511713,N/A,0.9934848109165684,N/A
tt_2b,AFII_4FS_bzd2,40298.67962386698,38119.34265958531,N/A,1.0571714203926248,N/A
tt_1B,muR,12321.627337848764,12644.730181948014,12242.90612992875,0.9744476284230627,1.0064299445805254
tt_1B,muF,12321.627337848764,12216.652856804083,12431.389931856182,1.0085927366746952,0.9911705292321219
tt_1B,ISR,12321.627337848764,12353.545778025857,12292.675456106444,0.9974162527301377,1.0023552140334053
tt_1B,FSR,12321.627337848764,12911.215320111947,11574.734665917404,0.954335206435232,1.0645278439194497
tt_1B,PH7,12321.627337848764,10221.209834752064,N/A,1.2054959771939413,N/A
tt_1B,pthard,12321.627337848764,11752.594220265428,N/A,1.0484176605537976,N/A
tt_1B,dipolePS,12321.627337848764,10104.134244351555,N/A,1.2194639382128991,N/A
tt_1B,AFII_4FS,12321.627337848764,12369.56881967669,N/A,0.996124239856149,N/A
tt_1B,AFII_4FS_bzd2,12321.627337848764,12453.272284420294,N/A,0.9894288871579381,N/A
