Flavour,Systematic,Nominal yield,Systematic yield (up),Systematic yield (down),Renorm. value (up),Renorm. value (down)
tt_light,muR,60500.36915803959,60617.6917390446,60961.44554976599,0.9980645488529969,0.992436590248668
tt_light,muF,60500.36915803959,60603.385718729805,61172.893348871905,0.9983001517247183,0.9890061732572158
tt_light,ISR,60500.36915803959,61215.71713306151,60552.19846977318,0.9883143086690137,0.9991440556570466
tt_light,FSR,60500.36915803959,50700.52404785705,67364.18135802355,1.193288832693964,0.8981088753457191
tt_light,PH7,60500.36915803959,66555.32150092312,N/A,0.9090237684029586,N/A
tt_light,hdamp,60500.36915803959,62593.53605053465,N/A,0.9665593761821484,N/A
tt_light,pthard,60500.36915803959,60872.043861986844,N/A,0.993894164211244,N/A
tt_light,AFII_5FS,60500.36915803959,60635.649948830476,N/A,0.9977689562014254,N/A
tt_1c,muR,29892.2449001436,29403.921222421388,29934.111520151586,1.0166074338870779,0.998601374222188
tt_1c,muF,29892.2449001436,29517.21581426233,29959.761214847065,1.0127054356427498,0.9977464334839222
tt_1c,ISR,29892.2449001436,30388.68888077056,29120.17152785923,0.9836635274863371,1.0265133524898962
tt_1c,FSR,29892.2449001436,33124.23247007882,27550.262032198043,0.9024283031205423,1.085007644036506
tt_1c,PH7,29892.2449001436,26335.138756442368,N/A,1.1350707196418723,N/A
tt_1c,hdamp,29892.2449001436,31262.516296774993,N/A,0.9561688706173421,N/A
tt_1c,pthard,29892.2449001436,29662.06644152986,N/A,1.0077600277468015,N/A
tt_1c,AFII_5FS,29892.2449001436,30264.698019717056,N/A,0.9876934797323665,N/A
